match_id,start_date,format,competition,tier,year,team_home,team_away,venue,winner,y_t1_wins,pred_p_t1,pred,correct,confidence,brier,elo_diff_pre,h2h_t1_winpct,h2h_n_prior
7185353107058773410,2023-12-23,ODI,Bangladesh tour of New Zealand,tier1,2023,New Zealand,Bangladesh,"McLean Park, Napier",Bangladesh,0,0.7697505071655647,1,0,0.5395010143311294,0.5925158432816441,191.69342930849803,0.7567567567567568,37
8067189642745562128,2023-12-23,ODI,Bangladesh Women tour of South Africa,tier2_assoc,2023,South Africa,Bangladesh,"Willowmoore Park, Benoni",South Africa,1,0.8449794708771755,1,1,0.689958941754351,0.024031364449520476,238.3461312928971,0.7741935483870968,31
2072312526557803670,2023-12-28,ODI,Australia Women tour of India,tier2_assoc,2023,India,Australia,"Wankhede Stadium, Mumbai",Australia,0,0.19182702247409014,0,1,0.6163459550518198,0.036797606551275085,48.716601042356615,0.4166666666666667,84
6234679051248719385,2023-12-30,ODI,Australia Women tour of India,tier2_assoc,2023,Australia,India,"Wankhede Stadium, Mumbai",Australia,1,0.6894041373866807,1,1,0.37880827477336143,0.09646978987251191,-13.170257592742473,0.5882352941176471,85
2402873588464294002,2024-01-02,ODI,Australia Women tour of India,tier2_assoc,2024,Australia,India,"Wankhede Stadium, Mumbai",Australia,1,0.7223925122865975,1,1,0.444785024573195,0.07706591723454692,1.2305668188150776,0.5930232558139535,86
6971820172928961110,2024-01-08,ODI,Zimbabwe tour of Sri Lanka,tier1,2024,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,0,0.27552482002037165,0,1,0.4489503599592567,0.0759139264472582,-246.80607354389122,0.25,28
4715197454129148839,2024-01-11,ODI,Zimbabwe tour of Sri Lanka,tier1,2024,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,0,0.17779355738165012,0,1,0.6444128852366997,0.03161054904642211,-257.0781643148157,0.2413793103448276,29
2621582175844355731,2024-01-18,ODI,Ireland Women tour of Zimbabwe,tier2_assoc,2024,Zimbabwe,Ireland,Harare Sports Club,Ireland,0,0.30288208635681013,0,1,0.39423582728637974,0.0917375582358542,-112.35872466604883,0.3684210526315789,19
6753126694002293463,2024-01-23,ODI,Ireland Women tour of Zimbabwe,tier2_assoc,2024,Ireland,Zimbabwe,Harare Sports Club,Ireland,1,0.7264976998874177,1,1,0.4529953997748355,0.074803508166873,137.10609924310188,0.65,20
852445282813221993,2024-02-02,ODI,West Indies tour of Australia,tier1,2024,West Indies,Australia,Melbourne Cricket Ground,Australia,0,0.1449974912388974,0,1,0.7100050175222052,0.02102427246557413,-376.3855058428892,0.16666666666666666,48
6135477641489957744,2024-02-03,ODI,South Africa Women tour of Australia,tier2_assoc,2024,South Africa,Australia,Adelaide Oval,Australia,0,0.16607548412477072,0,1,0.6678490317504586,0.027581066427276972,-128.84880747575903,0.5344827586206896,58
6230576419394935735,2024-02-04,ODI,West Indies tour of Australia,tier1,2024,Australia,West Indies,Sydney Cricket Ground,Australia,1,0.8433032858340435,1,1,0.6866065716680869,0.024553860230407485,394.13305527882994,0.8367346938775511,49
2317287657936767486,2024-02-06,ODI,West Indies tour of Australia,tier1,2024,West Indies,Australia,"Manuka Oval, Canberra",Australia,0,0.14575873217200983,0,1,0.7084825356559803,0.02124560800439169,-402.44715904839086,0.16,50
925334553421618201,2024-02-07,ODI,South Africa Women tour of Australia,tier2_assoc,2024,South Africa,Australia,"North Sydney Oval, Sydney",South Africa,1,0.22859459580144217,0,0,0.5428108083971157,0.5950662976267405,-157.70222068680027,0.5254237288135594,59
3798350614822431583,2024-02-08,ODI,Canada tour of Nepal,tier2_other,2024,Nepal,Canada,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,1,0.3482253683594107,0,0,0.3035492632811786,0.4248101704502258,147.12822354793389,,0
3958147479379590098,2024-02-10,ODI,South Africa Women tour of Australia,tier2_assoc,2024,Australia,South Africa,"North Sydney Oval, Sydney",Australia,1,0.6893530364065077,1,1,0.3787060728130154,0.09650153598985653,94.3343202918079,0.4666666666666667,60
7455249213022087188,2024-02-10,ODI,Canada tour of Nepal,tier2_other,2024,Canada,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,0,0.5574020479651688,1,0,0.11480409593033758,0.31069704307576435,-159.61896873936485,0.0,1
4229906576313885170,2024-02-12,ODI,Canada tour of Nepal,tier2_other,2024,Canada,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,0,0.6454050352370533,1,0,0.29081007047410656,0.41654765950934197,-176.0461534937922,0.0,2
7157463670318174504,2024-02-15,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,0,0.44949440558927706,0,1,0.10101118882144589,0.2020452206560575,10.461449858633387,0.4,5
426294427764819678,2024-02-17,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,0,0.22378038247186266,0,1,0.5524392350562747,0.050077659579253135,-59.79625814710221,1.0,1
8355799073771218234,2024-02-19,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Namibia,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,0,0.8000539376686535,1,0,0.600107875337307,0.6400863031791177,93.43628019600942,0.0,1
7609898726911487388,2024-02-21,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,0,0.5160612069752682,1,0,0.0321224139505365,0.2663191693447707,15.683689529467074,0.3333333333333333,6
1854744176285164278,2024-02-23,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Namibia,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,1,0.7434620453106392,1,1,0.4869240906212784,0.06581172219620053,66.32252666353725,0.0,2
1314729524280328710,2024-02-25,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,0,0.7968627209097563,1,0,0.5937254418195126,0.6349901959757002,67.48563657677687,0.5,2
4320413913879532008,2024-02-28,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,United Arab Emirates,Canada,Dubai International Cricket Stadium,Canada,0,0.4395931527806113,0,1,0.12081369443877743,0.19324213997159786,25.68450994898285,1.0,1
6940054115825176709,2024-03-01,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Scotland,Canada,Dubai International Cricket Stadium,Canada,0,0.5942932505187878,1,0,0.18858650103757557,0.35318446761218664,224.55498806418268,0.5,2
3919190725033289739,2024-03-03,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,0,0.17199847633952625,0,1,0.6560030473209475,0.02958347586311857,-203.08627671957606,0.3333333333333333,12
14551021323457767,2024-03-05,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Canada,United Arab Emirates,Dubai International Cricket Stadium,Canada,1,0.7332997010609561,1,1,0.4665994021219122,0.07112904945417538,37.33703345607523,0.5,2
6149802662732789222,2024-03-07,ODI,ICC Men's Cricket World Cup League 2,tier2_other,2024,Scotland,Canada,Dubai International Cricket Stadium,Canada,0,0.5975228443106059,1,0,0.19504568862121174,0.35703354947303656,171.85869820024777,0.3333333333333333,3
5462500814473317829,2024-03-13,ODI,Sri Lanka tour of Bangladesh,tier1,2024,Sri Lanka,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,0,0.4997094051365807,0,1,0.0005811897268386268,0.24970948958195532,59.68244222882731,0.7560975609756098,41
7578405498668026522,2024-03-15,ODI,Sri Lanka tour of Bangladesh,tier1,2024,Bangladesh,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Chattogram",Sri Lanka,0,0.5273118258348842,1,0,0.05462365166976846,0.27805776166531926,-23.17501210884575,0.2619047619047619,42
7267102089752967613,2024-03-18,ODI,Sri Lanka tour of Bangladesh,tier1,2024,Sri Lanka,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,0,0.49659821480153515,0,1,0.006803570396929692,0.24660978694407165,48.93673355853389,0.7441860465116279,43
4254014042815362546,2024-03-21,ODI,Australia Women tour of Bangladesh,tier2_assoc,2024,Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,1,0.8777868340269986,1,1,0.7555736680539973,0.014936057937144377,370.84344015552165,0.9473684210526315,19
5940197710768832276,2024-03-24,ODI,Australia Women tour of Bangladesh,tier2_assoc,2024,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,0,0.09786156707405302,0,1,0.804276865851894,0.009576886310189379,-380.9616160998369,0.05,20
5095681877347576144,2024-03-26,ODI,Papua New Guinea Women tour of Zimbabwe,tier2_assoc,2024,Papua New Guinea,Zimbabwe,Harare Sports Club,Zimbabwe,0,0.5408402408750096,1,0,0.08168048175001918,0.2925081661497384,-115.88558561231616,,0
4881746016176786221,2024-03-27,ODI,Australia Women tour of Bangladesh,tier2_assoc,2024,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,0,0.08712996850057152,0,1,0.8257400629988569,0.007591631410910585,-387.22543021805564,0.047619047619047616,21
676161450963466325,2024-03-28,ODI,Papua New Guinea Women tour of Zimbabwe,tier2_assoc,2024,Zimbabwe,Papua New Guinea,Harare Sports Club,Zimbabwe,1,0.7195116286448868,1,1,0.43902325728977365,0.07867372646544388,133.79262683401953,1.0,1
7226095154768165419,2024-04-01,ODI,England Women tour of New Zealand,tier2_assoc,2024,New Zealand,England,"Basin Reserve, Wellington",England,0,0.17260609680222874,0,1,0.6547878063955426,0.02979286465330036,-32.450590818497176,0.43636363636363634,55
3948954877741280819,2024-04-04,ODI,England Women tour of New Zealand,tier2_assoc,2024,England,New Zealand,"Seddon Park, Hamilton",England,1,0.777153829607693,1,1,0.5543076592153859,0.049660415658517136,58.5684567100991,0.5714285714285714,56
6900254408416537903,2024-04-07,ODI,England Women tour of New Zealand,tier2_assoc,2024,England,New Zealand,"Seddon Park, Hamilton",New Zealand,0,0.6493518999350854,1,0,0.2987037998701707,0.4216578899493051,92.27684826152313,0.5789473684210527,57
4795636913179655162,2024-04-11,ODI,UAE Women's ODI Tri-Series,tier2_assoc,2024,United States of America,Papua New Guinea,"ICC Academy, Dubai",Papua New Guinea,0,0.6530634091526637,1,0,0.3061268183053274,0.42649181637409944,176.83672895883683,0.7777777777777778,9
5853471979602013233,2024-04-12,ODI,UAE Women's ODI Tri-Series,tier2_assoc,2024,Scotland,Papua New Guinea,"ICC Academy, Dubai",Scotland,1,0.736183180811798,1,1,0.472366361623596,0.06959931408658046,248.84629657468963,1.0,6
7048684869653772490,2024-04-13,ODI,Sri Lanka Women tour of South Africa,tier2_assoc,2024,Sri Lanka,South Africa,"Diamond Oval, Kimberley",South Africa,0,0.1930416443452884,0,1,0.6139167113094233,0.03726507645153281,-225.75850304324558,0.3269230769230769,52
3172336789845284142,2024-04-14,ODI,UAE Women's ODI Tri-Series,tier2_assoc,2024,Scotland,United States of America,"ICC Academy, Dubai",Scotland,1,0.66900269042768,1,1,0.33800538085536,0.10955921894411423,126.82365668938178,0.5,6
830853209463975797,2024-04-17,ODI,Sri Lanka Women tour of South Africa,tier2_assoc,2024,South Africa,Sri Lanka,"Senwes Park, Potchefstroom",Sri Lanka,0,0.7282735362596279,1,0,0.45654707251925575,0.5303823436161035,239.64108171911266,0.6792452830188679,53
4471639300078691185,2024-04-18,ODI,West Indies Women tour of Pakistan,tier2_assoc,2024,West Indies,Pakistan,"National Stadium, Karachi",West Indies,1,0.38848596557253945,0,0,0.2230280688549211,0.3739494143017494,-66.91823055178929,0.3829787234042553,47
2680891774961038367,2024-04-21,ODI,West Indies Women tour of Pakistan,tier2_assoc,2024,Pakistan,West Indies,"National Stadium, Karachi",West Indies,0,0.514586691177256,1,0,0.029173382354511945,0.2647994627367566,10.495709228312535,0.6041666666666666,48
